_tid_,RAC1P,SEX,REGION,ST,CIT,NATIVITY,DIS,DIVISION,RAC2P,POBP,WAOB
985,1,1,2,55,1,1,2,3,1,55,1
986,9,1,4,4,1,1,2,8,68,4,1
987,9,1,3,40,1,1,1,7,68,55,1
988,1,1,1,36,1,1,2,2,1,36,1
989,9,1,3,40,1,1,1,7,68,56,1
990,8,1,4,6,1,1,2,9,67,6,1
991,1,1,4,41,1,1,2,9,1,6,1
992,6,1,3,48,1,1,2,7,1,48,1
993,9,2,3,41,1,1,1,5,68,72,2
994,2,2,3,47,1,1,2,6,2,47,1
995,6,2,3,12,1,1,2,5,1,12,1
996,1,1,3,48,1,1,2,7,1,48,1
997,2,2,4,4,1,1,1,8,2,51,1
998,1,1,1,42,1,1,1,2,1,42,1
999,1,2,1,36,1,1,2,2,1,36,1
1000,1,1,1,34,1,1,2,2,1,34,1
1001,1,1,3,1,1,1,2,6,1,1,1
1002,1,1,3,24,1,1,2,5,1,42,1
1003,1,2,2,27,1,1,2,4,1,27,1
1004,9,2,4,4,1,1,2,8,68,6,1
1005,2,1,3,48,1,1,2,7,2,48,1
1006,1,2,1,9,1,1,2,1,1,36,1
1007,1,2,3,51,1,1,2,5,1,34,1
1008,1,1,3,28,1,1,1,6,1,28,1
1009,1,1,3,12,1,1,2,5,1,48,1
1010,1,1,2,55,1,1,2,3,1,55,1
1011,1,2,2,27,1,1,1,4,1,27,1
1012,2,1,3,12,1,1,2,5,2,46,1
1013,1,2,1,36,1,1,2,2,1,36,1
1014,1,2,3,48,1,1,2,7,1,48,1
1015,2,1,4,4,1,1,2,8,2,17,1
1016,1,1,1,25,1,1,2,1,1,25,1
1017,8,1,3,12,1,1,2,5,67,26,1
1018,9,2,3,51,1,1,2,5,68,51,1
1019,1,1,3,1,1,1,2,6,1,1,1
1020,2,2,3,12,1,1,2,5,2,12,1
1021,1,2,4,30,1,1,2,9,1,6,1
1022,8,1,3,48,1,1,2,7,67,48,1
1023,1,2,3,24,1,1,2,5,1,42,1
1024,2,1,2,26,1,1,2,3,2,26,1
1025,1,2,1,34,1,1,2,2,1,34,1
1026,1,2,4,6,1,1,2,9,1,6,1
1027,9,1,4,6,1,1,2,9,68,6,1
1028,8,1,4,6,1,1,2,9,67,6,1
1029,9,1,4,4,1,1,2,8,68,4,1
1030,8,1,4,6,1,1,2,9,67,303,3
1031,1,2,3,48,1,1,2,7,1,48,1
1032,1,1,2,26,1,1,1,3,1,26,1
1033,1,1,1,36,1,1,2,2,1,36,1
1034,1,2,2,39,1,1,2,3,1,39,1
1035,1,2,1,9,1,1,2,1,1,9,1
1036,1,2,3,40,1,1,2,7,1,40,1
1037,1,1,1,23,1,1,2,1,1,23,1
1038,1,2,3,51,1,1,2,5,1,37,1
1039,1,1,2,27,1,1,2,4,1,27,1
1040,1,1,3,24,1,1,2,5,1,24,1
1041,2,2,3,28,1,1,2,6,2,28,1
1042,9,1,3,47,1,1,2,6,68,47,1
1043,9,2,1,36,1,1,2,2,68,36,1
1044,2,2,3,13,1,1,2,5,2,13,1
1045,2,1,3,24,1,1,2,5,2,24,1
1046,1,2,3,48,1,1,2,7,1,48,1
1047,1,1,4,51,1,1,1,9,1,36,1
1048,1,2,3,24,1,1,2,5,1,10,1
1049,1,1,4,49,1,1,2,8,1,6,1
1050,1,2,3,13,1,1,1,5,1,39,1
1051,1,2,1,33,1,1,2,1,1,33,1
1052,1,2,1,25,1,1,2,1,1,25,1
1053,1,2,3,37,1,1,1,5,1,37,1
1054,6,2,3,48,1,1,2,7,1,48,1
