ID,RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
164,1,2,3,60000.0,1,1.0,1,1,6.0,19.0,1,4.0
165,1,1,3,4000.0,1,1.0,1,1,6.0,12.0,2,
166,2,1,3,55000.0,1,1.0,1,1,3.0,19.0,2,4.0
167,1,2,3,,1,,1,1,,10.0,1,
168,6,1,3,,1,,1,1,,10.0,1,
169,1,1,3,22000.0,1,1.0,1,1,4.0,14.0,1,4.0
170,1,1,3,60000.0,1,5.0,1,1,4.0,21.0,2,4.0
171,7,1,3,0.0,1,,1,1,6.0,14.0,2,4.0
172,1,2,3,,1,,1,1,,,2,
173,1,1,3,65000.0,1,1.0,1,1,1.0,22.0,2,4.0
174,1,1,3,,1,,1,1,,5.0,2,
175,2,2,3,11900.0,1,2.0,1,1,5.0,16.0,1,4.0
176,6,2,3,,1,,1,1,,8.0,2,
177,2,2,3,,1,,1,1,,1.0,2,
178,1,1,3,73000.0,1,1.0,1,1,4.0,16.0,2,2.0
179,1,2,3,,1,,1,1,,1.0,2,
180,1,2,3,,1,,1,1,,8.0,2,
181,2,2,3,33000.0,1,3.0,1,1,1.0,19.0,2,4.0
182,1,2,3,9300.0,1,,1,1,3.0,11.0,2,4.0
183,1,2,3,34500.0,1,4.0,1,1,1.0,16.0,2,4.0
184,1,2,3,0.0,1,1.0,1,1,6.0,21.0,2,4.0
185,1,2,3,16400.0,1,,1,1,3.0,11.0,1,4.0
186,1,1,3,120000.0,1,6.0,1,1,1.0,21.0,2,4.0
187,1,1,3,2400.0,1,,1,1,6.0,13.0,2,
188,1,2,3,24040.0,1,,1,1,3.0,16.0,2,4.0
189,1,1,3,53500.0,1,,1,1,1.0,16.0,2,4.0
190,1,2,3,0.0,1,,1,1,1.0,21.0,2,4.0
191,1,2,3,42000.0,1,1.0,1,1,6.0,19.0,2,4.0
192,1,2,3,16400.0,1,,1,1,1.0,17.0,2,3.0
193,2,2,3,,1,,1,1,,11.0,2,
194,1,2,3,26000.0,1,1.0,1,1,1.0,18.0,2,4.0
195,1,2,3,73000.0,1,1.0,1,1,6.0,21.0,2,4.0
196,8,2,3,17000.0,1,1.0,5,2,2.0,1.0,2,4.0
197,8,2,3,8900.0,1,1.0,5,2,6.0,16.0,2,4.0
198,2,1,3,,1,,1,1,,11.0,2,
199,1,2,3,8800.0,1,,1,1,3.0,20.0,2,4.0
200,1,2,3,114600.0,1,,1,1,3.0,19.0,1,4.0
201,6,1,3,,1,,5,2,,8.0,2,
202,9,2,3,35000.0,1,1.0,1,1,1.0,21.0,2,4.0
203,1,1,3,36300.0,1,,1,1,5.0,20.0,1,3.0
204,1,1,3,355000.0,1,7.0,1,1,1.0,21.0,2,4.0
205,2,1,3,,1,,1,1,,1.0,2,
206,1,2,3,,1,,1,1,,1.0,2,
207,1,2,3,56000.0,1,1.0,1,1,1.0,19.0,2,4.0
208,1,1,3,105900.0,1,1.0,1,1,1.0,22.0,2,4.0
209,8,1,3,9800.0,1,1.0,1,1,6.0,17.0,2,4.0
210,1,2,3,14400.0,1,1.0,1,1,1.0,16.0,2,4.0
211,1,2,3,0.0,1,2.0,1,1,6.0,13.0,1,4.0
212,1,2,3,,1,,1,1,,2.0,2,
213,1,1,3,0.0,1,1.0,1,1,6.0,12.0,2,4.0
214,1,1,3,15600.0,1,,1,1,3.0,16.0,2,4.0
215,1,1,3,234200.0,1,4.0,1,1,1.0,19.0,2,4.0
216,1,1,3,920.0,1,1.0,1,1,6.0,21.0,2,4.0
217,1,2,3,14400.0,1,,1,1,3.0,22.0,1,4.0
218,1,2,3,34500.0,1,1.0,1,1,1.0,16.0,2,4.0
219,2,2,3,23000.0,1,2.0,1,1,6.0,16.0,2,4.0
220,1,1,3,67000.0,1,4.0,1,1,3.0,17.0,2,2.0
221,2,2,3,,1,,1,1,,3.0,2,
222,1,1,3,10200.0,1,,1,1,5.0,12.0,1,4.0
223,2,2,3,2800.0,1,,1,1,1.0,16.0,2,4.0
224,1,2,3,80000.0,1,1.0,1,1,1.0,21.0,2,4.0
225,1,1,3,60000.0,1,7.0,1,1,1.0,21.0,2,4.0
226,1,1,3,254800.0,1,,1,1,1.0,16.0,1,4.0
227,1,2,3,9080.0,1,1.0,1,1,1.0,16.0,2,4.0
228,1,1,3,10000.0,1,1.0,1,1,3.0,14.0,2,4.0
229,1,1,3,,1,,1,1,,2.0,2,
230,1,1,3,90000.0,1,5.0,1,1,1.0,20.0,2,4.0
231,1,1,3,15600.0,1,,1,1,5.0,14.0,1,4.0
232,1,2,3,7800.0,1,,2,1,3.0,13.0,1,4.0
233,9,1,3,,1,,1,1,,5.0,2,
234,2,2,3,,1,,1,1,,5.0,2,
235,1,1,3,548000.0,1,1.0,1,1,1.0,21.0,2,4.0
236,2,1,3,,1,,1,1,,6.0,2,
237,1,1,3,18000.0,1,,1,1,1.0,19.0,2,2.0
238,1,1,3,14000.0,1,1.0,1,1,1.0,22.0,2,4.0
239,1,2,3,5800.0,1,,1,1,1.0,16.0,2,2.0
240,1,1,3,0.0,1,,1,1,6.0,11.0,2,
241,1,2,3,24000.0,1,,1,1,1.0,16.0,2,4.0
242,1,2,3,90000.0,1,1.0,1,1,1.0,21.0,1,4.0
243,1,2,3,,1,,1,1,,6.0,2,
244,1,2,3,40000.0,1,5.0,1,1,1.0,16.0,2,4.0
245,9,1,3,0.0,1,,1,1,1.0,11.0,1,4.0
246,2,2,3,,1,,1,1,,6.0,1,
247,1,2,3,,1,,1,1,,4.0,2,
248,1,1,3,,1,,1,1,,,2,
249,2,2,3,,1,,1,1,,,2,
250,1,2,3,0.0,1,1.0,1,1,1.0,16.0,2,4.0
251,9,2,3,3500.0,1,1.0,1,1,4.0,16.0,2,4.0
252,1,2,3,7800.0,1,,1,1,1.0,16.0,1,4.0
253,2,2,3,,1,,1,1,,10.0,2,
254,1,1,3,69000.0,1,1.0,1,1,1.0,20.0,2,4.0
255,1,2,3,140000.0,1,1.0,1,1,1.0,22.0,2,4.0
256,1,2,3,,1,,1,1,,1.0,2,
257,1,1,3,,1,,1,1,,1.0,2,
258,1,1,3,,1,,1,1,,2.0,2,
259,1,2,3,31200.0,1,,1,1,1.0,21.0,2,4.0
260,1,2,3,0.0,1,,1,1,1.0,16.0,1,4.0
261,2,2,3,23000.0,1,,1,1,6.0,16.0,1,4.0
262,1,1,3,42600.0,1,,1,1,1.0,17.0,1,2.0
263,1,1,3,50000.0,1,,1,1,1.0,21.0,2,3.0
264,1,1,3,68000.0,1,1.0,1,1,1.0,17.0,2,4.0
265,5,1,3,0.0,1,,1,1,6.0,12.0,2,4.0
266,1,1,3,80200.0,1,,1,1,1.0,16.0,2,2.0
267,1,2,3,14400.0,1,,1,1,3.0,16.0,1,4.0
268,1,2,3,44900.0,1,6.0,1,1,1.0,19.0,2,4.0
269,1,1,3,42880.0,1,1.0,1,1,1.0,16.0,2,4.0
270,1,2,3,,1,,1,1,,3.0,2,
271,1,2,3,72000.0,1,4.0,1,1,1.0,22.0,2,4.0
272,1,1,3,56900.0,1,5.0,1,1,1.0,18.0,2,2.0
273,8,2,3,2700.0,1,1.0,1,1,6.0,18.0,2,4.0
274,1,2,3,,1,,1,1,,4.0,2,
275,1,1,3,,1,,1,1,,6.0,2,
276,1,2,3,92000.0,1,7.0,1,1,4.0,18.0,2,4.0
277,3,1,3,30000.0,1,1.0,5,2,2.0,19.0,2,4.0
278,1,2,3,1000.0,1,1.0,1,1,1.0,21.0,2,4.0
279,2,2,3,13200.0,1,,1,1,6.0,16.0,2,4.0
280,1,2,3,,1,,3,1,,6.0,2,
281,2,1,3,9600.0,1,,1,1,6.0,7.0,1,4.0
282,2,1,3,21300.0,1,,1,1,1.0,16.0,2,3.0
283,1,2,3,11000.0,1,1.0,1,1,4.0,16.0,2,4.0
284,2,2,3,51000.0,1,4.0,1,1,4.0,22.0,2,4.0
285,1,2,3,50000.0,1,1.0,1,1,6.0,21.0,1,4.0
286,1,2,3,38800.0,1,,1,1,4.0,19.0,1,4.0
287,1,2,3,10000.0,1,,1,1,3.0,22.0,2,4.0
288,1,2,3,,1,,1,1,,6.0,2,
289,1,2,3,37500.0,1,,1,1,6.0,22.0,1,4.0
290,1,2,3,33800.0,1,1.0,1,1,4.0,19.0,2,4.0
291,2,2,3,,1,,1,1,,9.0,2,
292,1,1,3,20000.0,1,1.0,1,1,6.0,16.0,2,4.0
293,1,1,3,37800.0,1,,1,1,3.0,22.0,1,2.0
294,1,1,3,37380.0,1,6.0,1,1,5.0,21.0,1,4.0
295,1,2,3,,1,,1,1,,4.0,2,
296,1,2,3,0.0,1,,1,1,6.0,12.0,2,
297,2,1,3,15000.0,1,1.0,1,1,1.0,15.0,2,4.0
298,1,1,3,28800.0,1,,1,1,4.0,19.0,2,4.0
299,1,1,3,27000.0,1,3.0,4,2,1.0,21.0,2,4.0
300,9,1,3,,1,,1,1,,2.0,2,
301,1,1,3,70000.0,1,1.0,1,1,1.0,18.0,2,4.0
302,1,2,3,,1,,1,1,,,2,
303,1,1,3,75000.0,1,1.0,1,1,1.0,16.0,1,4.0
304,2,1,3,0.0,1,1.0,1,1,1.0,19.0,2,4.0
305,1,1,3,23600.0,1,1.0,1,1,1.0,19.0,1,4.0
306,1,2,3,30000.0,1,1.0,1,1,6.0,21.0,2,4.0
307,1,2,3,9600.0,1,4.0,4,2,1.0,22.0,2,4.0
308,1,1,3,70000.0,1,1.0,1,1,1.0,16.0,2,4.0
309,1,2,3,38300.0,1,,1,1,1.0,21.0,1,4.0
310,1,1,3,30000.0,1,1.0,1,1,1.0,21.0,2,4.0
311,1,1,3,,1,,1,1,,5.0,2,
312,1,2,3,31000.0,1,,1,1,3.0,19.0,2,4.0
313,2,2,3,,1,,1,1,,5.0,2,
314,1,1,3,12000.0,1,1.0,1,1,6.0,19.0,2,4.0
315,1,2,3,0.0,1,,1,1,1.0,18.0,2,4.0
316,1,2,3,9600.0,1,,1,1,3.0,16.0,2,4.0
317,6,1,3,400.0,1,1.0,1,1,6.0,13.0,2,
318,1,1,3,180000.0,1,5.0,1,1,1.0,20.0,2,4.0
319,1,2,3,10000.0,1,7.0,1,1,1.0,16.0,2,4.0
320,2,1,3,20000.0,1,,1,1,4.0,16.0,1,4.0
321,1,2,3,12500.0,1,6.0,1,1,1.0,16.0,2,4.0
322,1,1,3,17050.0,1,1.0,1,1,1.0,16.0,2,4.0
323,9,2,3,2200.0,1,,1,1,5.0,21.0,2,4.0
324,1,2,3,35000.0,1,1.0,1,1,1.0,19.0,2,4.0
325,1,2,3,12800.0,1,,1,1,1.0,21.0,1,2.0
326,9,2,3,,1,,1,1,,5.0,2,
327,2,2,3,830.0,1,2.0,1,1,4.0,15.0,1,4.0
328,1,2,3,70.0,1,,1,1,1.0,19.0,2,4.0
329,1,2,3,49100.0,1,3.0,1,1,1.0,22.0,2,4.0
330,1,1,3,43100.0,1,,1,1,1.0,18.0,1,4.0
331,9,1,3,20900.0,1,1.0,1,1,6.0,21.0,2,4.0
332,1,2,3,,1,,1,1,,3.0,2,
333,1,2,3,0.0,1,,1,1,1.0,16.0,2,4.0
334,2,1,3,70200.0,1,4.0,1,1,1.0,19.0,2,4.0
335,1,2,3,24000.0,1,1.0,1,1,4.0,16.0,2,4.0
336,1,2,3,,1,,1,1,,11.0,2,
337,1,2,3,29600.0,1,,1,1,4.0,16.0,1,4.0
338,2,2,3,,1,,1,1,,4.0,2,
339,1,2,3,,1,,1,1,,4.0,2,
340,1,1,3,,1,,1,1,,2.0,2,
341,2,2,3,2000.0,1,1.0,1,1,6.0,16.0,2,4.0
342,9,1,3,80000.0,1,1.0,1,1,1.0,16.0,1,4.0
343,1,2,3,35180.0,1,,1,1,3.0,19.0,2,4.0
344,1,1,3,18000.0,1,1.0,1,1,6.0,19.0,2,4.0
345,1,2,3,8400.0,1,,1,1,2.0,13.0,1,4.0
346,1,1,3,22500.0,1,1.0,1,1,4.0,16.0,1,4.0
347,2,1,3,8500.0,1,,1,1,1.0,16.0,2,4.0
348,1,1,3,12000.0,1,,1,1,1.0,16.0,2,2.0
349,1,2,3,28800.0,1,,1,1,1.0,16.0,2,4.0
350,1,2,3,0.0,1,,1,1,1.0,19.0,2,4.0
351,1,2,3,25000.0,1,2.0,1,1,1.0,21.0,2,4.0
352,1,2,3,720.0,1,4.0,1,1,1.0,16.0,2,4.0
353,1,2,3,30000.0,1,1.0,1,1,6.0,19.0,2,4.0
354,1,2,3,0.0,1,1.0,1,1,1.0,19.0,2,4.0
355,1,2,3,35600.0,1,1.0,1,1,1.0,20.0,2,4.0
356,2,1,3,45000.0,1,4.0,1,1,6.0,19.0,2,4.0
357,1,2,3,24000.0,1,1.0,1,1,1.0,19.0,2,4.0
358,1,1,3,80000.0,1,1.0,1,1,1.0,16.0,2,4.0
359,1,1,3,44450.0,1,,1,1,1.0,22.0,1,2.0
360,1,1,3,176500.0,1,1.0,1,1,1.0,24.0,2,4.0
361,1,2,3,21000.0,1,,1,1,3.0,16.0,1,4.0
362,2,1,3,30000.0,1,1.0,1,1,6.0,16.0,2,4.0
363,1,2,3,15000.0,1,,1,1,4.0,21.0,2,4.0
364,1,2,3,64400.0,1,,1,1,1.0,20.0,2,4.0
365,1,2,3,12000.0,1,,1,1,1.0,21.0,2,4.0
366,1,2,3,38000.0,1,3.0,1,1,1.0,21.0,2,4.0
367,1,2,3,0.0,1,,1,1,6.0,13.0,2,4.0
368,1,2,3,32000.0,1,4.0,1,1,4.0,21.0,2,4.0
369,1,2,3,6700.0,1,3.0,1,1,4.0,19.0,1,4.0
370,9,1,3,419000.0,1,7.0,3,1,1.0,21.0,2,4.0
371,3,1,3,3000.0,1,3.0,1,1,1.0,19.0,2,4.0
372,1,2,3,12800.0,1,,4,2,1.0,20.0,1,4.0
373,1,1,3,,1,,1,1,,9.0,1,
374,1,2,3,,1,,1,1,,1.0,2,
375,3,2,3,30000.0,1,3.0,1,1,4.0,16.0,2,4.0
376,1,1,3,,1,,1,1,,,2,
377,1,2,3,400800.0,1,,1,1,4.0,14.0,2,4.0
378,2,2,3,10500.0,1,,1,1,6.0,10.0,1,4.0
379,2,1,3,25000.0,1,1.0,1,1,6.0,16.0,2,4.0
380,1,1,3,120800.0,1,1.0,1,1,1.0,18.0,1,4.0
381,1,2,3,36000.0,1,1.0,1,1,1.0,20.0,2,4.0
382,1,2,3,10900.0,1,,1,1,3.0,10.0,1,4.0
383,1,1,3,,1,,1,1,,,2,
384,6,2,3,0.0,1,,1,1,6.0,13.0,2,4.0
385,2,2,3,8100.0,1,2.0,1,1,6.0,16.0,2,4.0
386,1,1,3,22000.0,1,,1,1,1.0,16.0,1,4.0
387,1,2,3,20000.0,1,1.0,1,1,1.0,16.0,2,4.0
388,9,1,3,,1,,1,1,,5.0,2,
389,2,1,3,0.0,1,,1,1,6.0,13.0,2,4.0
390,2,2,3,9900.0,1,1.0,1,1,1.0,16.0,2,4.0
